# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
MAP1	YLR244C	YLR244C	protein_coding	0	0	0	48	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	27
MAP2	YBL091C	YBL091C	protein_coding	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MAS1	YLR163C	YLR163C	protein_coding	0	1	2	44	0	0	0	0	22	0	0	0	2	0	0	0	0	0	0	0	0	1	22
MAS2	YHR024C	YHR024C	protein_coding	0	6	0	73	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	6	28
MATALPHA1	YCR040W	YCR040W	protein_coding	0	0	0	16	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MATALPHA2	YCR039C	YCR039C	protein_coding	0	0	0	16	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9
MBA1	YBR185C	YBR185C	protein_coding	0	6	0	65	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	6	35
MBB1	YJL199C	YJL199C	protein_coding	0	3	1	65	0	0	0	0	31	0	0	0	1	0	0	0	0	0	0	0	0	3	34
MBF1	YOR298C-A	YOR298C-A	protein_coding	0	0	0	20	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	8
MBP1	YDL056W	YDL056W	protein_coding	0	2	1	11	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	2	4
MBR1	YKL093W	YKL093W	protein_coding	0	5	4	80	0	0	0	0	37	0	0	0	4	0	0	0	0	0	0	0	0	5	43
MCA1	YOR197W	YOR197W	protein_coding	0	5	2	20	0	0	0	0	13	0	0	0	2	0	0	0	0	0	0	0	0	5	7
MCD1	YDL003W	YDL003W	protein_coding	0	3	5	47	0	0	0	0	22	0	0	0	5	0	0	0	0	0	0	0	0	3	25
MCD4	YKL165C	YKL165C	protein_coding	0	8	0	66	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	8	33
MCH1	YDL054C	YDL054C	protein_coding	0	0	1	21	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	14
MCH2	YKL221W	YKL221W	protein_coding	0	2	4	74	0	0	0	0	50	0	0	0	4	0	0	0	0	0	0	0	0	2	24
MCH4	YOL119C	YOL119C	protein_coding	0	4	1	98	0	0	0	0	58	0	0	0	1	0	0	0	0	0	0	0	0	4	40
MCH5	YOR306C	YOR306C	protein_coding	0	5	7	48	0	0	0	0	31	0	0	0	7	0	0	0	0	0	0	0	0	5	17
MCK1	YNL307C	YNL307C	protein_coding	0	0	0	16	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9
MCM1	YMR043W	YMR043W	protein_coding	0	0	0	17	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10
MCM10	YIL150C	YIL150C	protein_coding	1	4	3	54	0	0	0	0	26	1	0	0	3	0	0	0	0	0	0	0	0	4	28
MCM16	YPR046W	YPR046W	protein_coding	0	0	1	21	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	11
MCM2	YBL023C	YBL023C	protein_coding	0	11	0	52	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	11	21
MCM21	YDR318W	YDR318W	protein_coding	1	1	4	39	0	0	0	0	29	0	0	0	4	0	0	0	0	0	1	0	0	1	10
MCM22	YJR135C	YJR135C	protein_coding	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MCM3	YEL032W	YEL032W	protein_coding	0	0	0	26	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	17
MCM4	YPR019W	YPR019W	protein_coding	0	1	1	22	0	0	0	0	16	0	0	0	1	0	0	0	0	0	0	0	0	1	6
MCM5	YLR274W	YLR274W	protein_coding	0	16	1	77	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	16	58
MCM6	YGL201C	YGL201C	protein_coding	0	7	1	87	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	7	61
MCM7	YBR202W	YBR202W	protein_coding	0	10	1	82	0	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	10	41
MCP1	YOR228C	YOR228C	protein_coding	0	1	2	28	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	1	4
MCP2	YLR253W	YLR253W	protein_coding	0	6	2	39	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	0	6	13
MCR1	YKL150W	YKL150W	protein_coding	0	0	1	19	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	7
MCT1	YOR221C	YOR221C	protein_coding	0	0	0	21	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	19
MCX1	YBR227C	YBR227C	protein_coding	2	1	2	72	0	0	0	0	33	2	0	0	2	0	0	0	2	0	0	1	0	1	39
MDE1	YJR024C	YJR024C	protein_coding	0	2	3	26	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	2	9
MDG1	YNL173C	YNL173C	protein_coding	0	1	1	17	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	1	8
MDH1	YKL085W	YKL085W	protein_coding	0	1	0	26	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	21
MDH2	YOL126C	YOL126C	protein_coding	0	2	0	34	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	2	12
MDH3	YDL078C	YDL078C	protein_coding	0	0	0	21	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MDJ1	YFL016C	YFL016C	protein_coding	0	5	2	81	0	0	0	0	60	0	0	0	2	0	0	0	0	0	0	0	0	5	21
MDJ2	YNL328C	YNL328C	protein_coding	1	3	1	106	0	0	0	0	43	1	0	0	1	0	0	0	0	0	0	0	0	3	63
MDL1	YLR188W	YLR188W	protein_coding	0	10	3	46	0	0	0	0	23	0	0	0	3	0	0	0	0	0	0	0	0	10	23
MDL2	YPL270W	YPL270W	protein_coding	0	2	3	17	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	2	11
MDM1	YML104C	YML104C	protein_coding	0	12	9	52	0	0	0	0	30	0	0	0	9	0	0	0	0	0	0	0	0	12	22
MDM10	YAL010C	YAL010C	protein_coding	0	4	6	55	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	4	31
MDM12	YOL009C	YOL009C	protein_coding	0	1	4	21	0	0	0	0	10	0	0	0	4	0	0	0	0	0	0	0	0	1	11
MDM20	YOL076W	YOL076W	protein_coding	0	1	1	21	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	1	15
MDM30	YLR368W	YLR368W	protein_coding	0	5	5	58	0	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0	0	5	33
MDM31	YHR194W	YHR194W	protein_coding	0	1	1	8	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	6
MDM32	YOR147W	YOR147W	protein_coding	0	4	3	79	0	0	0	0	40	0	0	0	3	0	0	0	0	0	0	0	0	4	39
MDM34	YGL219C	YGL219C	protein_coding	0	1	2	62	0	0	0	0	30	0	0	0	2	0	0	0	0	0	0	0	0	1	32
MDM35	YKL053C-A	YKL053C-A	protein_coding	0	0	0	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MDM36	YPR083W	YPR083W	protein_coding	0	0	0	14	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MDM38	YOL027C	YOL027C	protein_coding	0	2	3	27	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	2	17
MDN1	YLR106C	YLR106C	protein_coding	0	3	9	15	0	0	0	0	5	0	0	0	9	0	0	0	0	0	0	0	0	3	10
MDR1	YGR100W	YGR100W	protein_coding	0	2	0	8	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	4
MDS3	YGL197W	YGL197W	protein_coding	0	33	16	88	0	0	0	0	43	0	0	0	16	0	0	0	0	0	0	0	0	33	45
MDV1	YJL112W	YJL112W	protein_coding	0	4	4	23	0	0	0	0	15	0	0	0	4	0	0	0	0	0	0	0	0	4	8
MDY2	YOL111C	YOL111C	protein_coding	0	2	1	65	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	0	2	36
MEC1	YBR136W	YBR136W	protein_coding	0	31	7	71	0	0	0	0	43	0	0	0	7	0	0	0	0	0	0	0	0	31	28
MEC3	YLR288C	YLR288C	protein_coding	0	19	2	102	0	0	0	0	58	0	0	0	2	0	0	0	0	0	0	0	0	19	44
MED1	YPR070W	YPR070W	protein_coding	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MED11	YMR112C	YMR112C	protein_coding	0	4	0	68	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	4	34
MED2	YDL005C	YDL005C	protein_coding	0	4	6	48	0	0	0	0	25	0	0	0	6	0	0	0	0	0	0	0	0	4	23
MED4	YOR174W	YOR174W	protein_coding	1	0	0	19	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	9
MED6	YHR058C	YHR058C	protein_coding	0	5	3	28	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	5	23
MED7	YOL135C	YOL135C	protein_coding	0	3	3	54	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	0	0	3	32
MED8	YBR193C	YBR193C	protein_coding	0	2	2	64	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	2	37
MEF1	YLR069C	YLR069C	protein_coding	0	11	3	53	0	0	0	0	22	0	0	0	3	0	0	0	0	0	0	0	0	11	31
MEF2	YJL102W	YJL102W	protein_coding	1	1	0	17	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	14
MEH1	YKR007W	YKR007W	protein_coding	0	0	0	16	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	11
MEI4	YER044C-A	YER044C-A	protein_coding	0	1	2	73	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	1	56
MEI5	YPL121C	YPL121C	protein_coding	0	0	1	7	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MEK1	YOR351C	YOR351C	protein_coding	0	5	1	22	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	5	11
MEP1	YGR121C	YGR121C	protein_coding	0	0	1	15	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	5
MEP2	YNL142W	YNL142W	protein_coding	0	0	4	20	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	11
MEP3	YPR138C	YPR138C	protein_coding	0	0	0	10	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MER1	YNL210W	YNL210W	protein_coding	0	0	2	31	0	0	0	0	21	0	0	0	2	0	0	0	0	0	0	0	0	0	10
MES1	YGR264C	YGR264C	protein_coding	0	0	1	9	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	6
MET1	YKR069W	YKR069W	protein_coding	1	8	2	67	0	0	0	0	27	0	0	0	2	0	0	0	0	0	1	0	0	8	40
MET10	YFR030W	YFR030W	protein_coding	0	2	3	11	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	2	9
MET12	YPL023C	YPL023C	protein_coding	0	8	4	91	0	0	0	0	40	0	0	0	4	0	0	0	0	0	0	0	0	8	51
MET13	YGL125W	YGL125W	protein_coding	0	2	1	19	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	2	5
MET14	YKL001C	YKL001C	protein_coding	0	1	0	25	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	11
MET16	YPR167C	YPR167C	protein_coding	0	0	0	19	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MET17	YLR303W	YLR303W	protein_coding	0	1	2	35	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	1	18
MET18	YIL128W	YIL128W	protein_coding	0	4	4	24	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	4	10
MET2	YNL277W	YNL277W	protein_coding	0	0	1	7	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MET22	YOL064C	YOL064C	protein_coding	0	6	2	75	0	0	0	0	29	0	0	0	2	0	0	0	0	0	0	0	0	6	46
MET28	YIR017C	YIR017C	protein_coding	0	0	1	61	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	56
MET3	YJR010W	YJR010W	protein_coding	0	3	0	53	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	3	26
MET30	YIL046W	YIL046W	protein_coding	0	8	2	68	0	0	0	0	36	0	0	0	2	0	0	0	0	0	0	0	0	8	32
MET31	YPL038W	YPL038W	protein_coding	0	1	1	63	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	1	28
MET32	YDR253C	YDR253C	protein_coding	0	0	0	29	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	9
MET4	YNL103W	YNL103W	protein_coding	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MET5	YJR137C	YJR137C	protein_coding	0	1	2	22	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	1	16
MET6	YER091C	YER091C	protein_coding	0	0	1	11	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MET7	YOR241W	YOR241W	protein_coding	0	0	1	15	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	6
MET8	YBR213W	YBR213W	protein_coding	0	4	4	62	0	0	0	0	31	0	0	0	4	0	0	0	0	0	0	0	0	4	31
MEU1	YLR017W	YLR017W	protein_coding	0	1	1	10	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	1	5
MEX67	YPL169C	YPL169C	protein_coding	0	1	1	29	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	1	21
MF(ALPHA)1	YPL187W	YPL187W	protein_coding	0	0	0	13	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9
MF(ALPHA)2	YGL089C	YGL089C	protein_coding	0	0	0	12	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	7
MFA1	YDR461W	YDR461W	protein_coding	0	1	0	14	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	4
MFA2	YNL145W	YNL145W	protein_coding	0	0	0	20	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	9
MFB1	YDR219C	YDR219C	protein_coding	0	1	0	10	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	3
MFG1	YDL233W	YDL233W	protein_coding	0	1	1	17	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	1	8
MFM1	YPL060W	YPL060W	protein_coding	0	5	3	24	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	5	20
MFT1	YML062C	YML062C	protein_coding	0	0	1	23	0	0	0	0	13	0	0	0	1	0	0	0	0	0	0	0	0	0	10
MGA1	YGR249W	YGR249W	protein_coding	0	6	3	93	0	0	0	0	40	0	0	0	3	0	0	0	0	0	0	0	0	6	53
MGA2	YIR033W	YIR033W	protein_coding	0	14	7	77	0	0	0	0	37	0	0	0	7	0	0	0	0	0	0	0	0	14	40
MGE1	YOR232W	YOR232W	protein_coding	0	1	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	2
MGM1	YOR211C	YOR211C	protein_coding	0	0	2	11	0	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	2
MGM101	YJR144W	YJR144W	protein_coding	0	2	1	45	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	2	11
MGR1	YCL044C	YCL044C	protein_coding	0	0	1	25	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	19
MGR2	YPL098C	YPL098C	protein_coding	0	0	1	27	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	19
MGR3	YMR115W	YMR115W	protein_coding	1	4	3	79	0	0	0	0	39	1	0	0	3	0	0	0	0	0	0	0	0	4	40
MGS1	YNL218W	YNL218W	protein_coding	0	1	0	24	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	14
MGT1	YDL200C	YDL200C	protein_coding	0	2	1	86	0	0	0	0	42	0	0	0	1	0	0	0	0	0	0	0	0	2	44
MHF1	YOL086W-A	YOL086W-A	protein_coding	0	0	1	74	0	0	0	0	34	0	0	0	1	0	0	0	0	0	0	0	0	0	40
MHF2	YDL160C-A	YDL160C-A	protein_coding	0	0	0	41	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	22
MHO1	YJR008W	YJR008W	protein_coding	0	3	2	42	0	0	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	3	25
MHP1	YJL042W	YJL042W	protein_coding	0	18	14	49	0	0	1	0	21	0	0	0	13	0	0	0	0	0	0	0	0	18	28
MHR1	YDR296W	YDR296W	protein_coding	0	4	2	67	0	0	0	0	37	0	0	0	2	0	0	0	0	0	0	0	0	4	30
MHT1	YLL062C	YLL062C	protein_coding	0	0	0	65	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	63
MIA40	YKL195W	YKL195W	protein_coding	0	2	3	58	0	0	0	0	37	0	0	0	3	0	0	0	0	0	0	0	0	2	21
MIC10	YCL057C-A	YCL057C-A	protein_coding	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MIC12	YBR262C	YBR262C	protein_coding	0	0	1	11	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	5
MIC19	YFR011C	YFR011C	protein_coding	0	1	0	58	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1	40
MIC26	YGR235C	YGR235C	protein_coding	0	0	0	52	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	18
MIC27	YNL100W	YNL100W	protein_coding	0	0	1	16	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MIC60	YKR016W	YKR016W	protein_coding	1	3	1	37	0	0	0	0	20	0	0	0	1	0	0	0	0	1	0	0	0	3	17
MID1	YNL291C	YNL291C	protein_coding	0	0	0	30	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	27
MID2	YLR332W	YLR332W	protein_coding	0	6	0	106	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	6	43
MIF2	YKL089W	YKL089W	protein_coding	0	11	4	55	0	0	0	0	12	0	0	0	4	0	0	0	0	0	0	0	0	11	43
MIG1	YGL035C	YGL035C	protein_coding	0	1	5	21	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	1	17
MIG2	YGL209W	YGL209W	protein_coding	0	1	1	58	0	0	0	0	39	0	0	0	1	0	0	0	0	0	0	0	0	1	19
MIG3	YER028C	YER028C	protein_coding	2	6	12	63	0	0	0	0	38	2	0	0	12	0	0	0	1	0	0	1	0	6	25
MIH1	YMR036C	YMR036C	protein_coding	0	0	1	12	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	5
MIM1	YOL026C	YOL026C	protein_coding	0	4	0	28	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	4	11
MIM2	YLR099W-A	YLR099W-A	protein_coding	0	0	0	24	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	19
MIP1	YOR330C	YOR330C	protein_coding	0	5	2	14	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	5	10
MIP6	YHR015W	YHR015W	protein_coding	0	5	1	62	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	5	38
MIR1	YJR077C	YJR077C	protein_coding	0	2	1	64	0	0	0	0	28	0	0	0	1	0	0	0	0	0	0	0	0	2	36
MIS1	YBR084W	YBR084W	protein_coding	0	10	3	69	0	0	0	0	41	0	0	0	3	0	0	0	0	0	0	0	0	10	28
MIT1	YEL007W	YEL007W	protein_coding	0	0	3	17	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	11
MIX14	YDR031W	YDR031W	protein_coding	0	0	0	15	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MIX17	YMR002W	YMR002W	protein_coding	0	0	1	71	0	0	0	0	45	0	0	0	1	0	0	0	0	0	0	0	0	0	26
MIX23	YBL107C	YBL107C	protein_coding	0	1	0	16	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	9
MKC7	YDR144C	YDR144C	protein_coding	0	5	6	42	0	0	0	0	19	0	0	0	6	0	0	0	0	0	0	0	0	5	23
MKK1	YOR231W	YOR231W	protein_coding	0	0	1	7	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MKK2	YPL140C	YPL140C	protein_coding	1	0	2	16	0	0	0	0	10	1	0	0	2	0	0	0	0	0	0	0	0	0	6
MKS1	YNL076W	YNL076W	protein_coding	0	0	1	12	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MKT1	YNL085W	YNL085W	protein_coding	0	1	3	24	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	0	1	13
MLC1	YGL106W	YGL106W	protein_coding	0	1	1	40	0	0	0	0	17	0	0	0	1	0	0	0	0	0	0	0	0	1	23
MLC2	YPR188C	YPR188C	protein_coding	0	0	0	16	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	5
MLF3	YNL074C	YNL074C	protein_coding	0	0	4	8	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	5
MLH1	YMR167W	YMR167W	protein_coding	0	1	4	41	0	0	0	0	15	0	0	0	4	0	0	0	0	0	0	0	0	1	26
MLH2	YLR035C	YLR035C	protein_coding	0	1	1	6	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0
MLH3	YPL164C	YPL164C	protein_coding	0	4	4	56	0	0	0	0	36	0	0	0	4	0	0	0	0	0	0	0	0	4	20
MLP1	YKR095W	YKR095W	protein_coding	1	17	15	66	0	0	0	0	28	1	0	0	15	0	0	0	0	0	0	0	0	17	38
MLP2	YIL149C	YIL149C	protein_coding	1	17	11	72	0	0	0	0	28	1	0	0	11	0	0	0	0	0	0	0	0	17	44
MLS1	YNL117W	YNL117W	protein_coding	0	5	2	67	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	5	40
MMF1	YIL051C	YIL051C	protein_coding	0	2	2	74	0	0	0	0	40	0	0	0	2	0	0	0	0	0	0	0	0	2	34
MMM1	YLL006W	YLL006W	protein_coding	0	0	0	24	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	15
MMP1	YLL061W	YLL061W	protein_coding	0	7	0	82	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	7	2
MMR1	YLR190W	YLR190W	protein_coding	0	0	0	29	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	26
MMS1	YPR164W	YPR164W	protein_coding	0	3	5	11	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	3	3
MMS2	YGL087C	YGL087C	protein_coding	0	0	0	14	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MMS21	YEL019C	YEL019C	protein_coding	0	0	1	16	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MMS22	YLR320W	YLR320W	protein_coding	0	6	3	40	0	0	0	0	17	0	0	0	3	0	0	0	0	0	0	0	0	6	23
MMS4	YBR098W	YBR098W	protein_coding	0	3	6	30	0	0	0	0	13	0	0	0	6	0	0	0	0	0	0	0	0	3	17
MMT1	YMR177W	YMR177W	protein_coding	0	0	0	14	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MMT2	YPL224C	YPL224C	protein_coding	0	6	4	53	0	0	0	0	38	0	0	0	4	0	0	0	0	0	0	0	0	6	15
MND1	YGL183C	YGL183C	protein_coding	0	0	0	15	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	8
MND2	YIR025W	YIR025W	protein_coding	0	8	3	64	0	0	1	0	31	0	0	0	2	0	0	0	0	0	0	0	0	8	33
MNE1	YOR350C	YOR350C	protein_coding	0	1	5	27	0	0	0	0	10	0	0	0	5	0	0	0	0	0	0	0	0	1	17
MNL1	YHR204W	YHR204W	protein_coding	0	2	3	16	0	0	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	2	6
MNL2	YLR057W	YLR057W	protein_coding	0	10	10	45	0	0	0	0	22	0	0	0	10	0	0	0	0	0	0	0	0	10	23
MNN1	YER001W	YER001W	protein_coding	0	0	2	6	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	3
MNN10	YDR245W	YDR245W	protein_coding	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	6
MNN11	YJL183W	YJL183W	protein_coding	0	6	1	96	0	0	0	0	52	0	0	0	1	0	0	0	0	0	0	0	0	6	44
MNN2	YBR015C	YBR015C	protein_coding	0	1	0	21	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1	2
MNN4	YKL201C	YKL201C	protein_coding	0	8	4	29	0	0	0	0	25	0	0	0	4	0	0	0	0	0	0	0	0	8	4
MNN5	YJL186W	YJL186W	protein_coding	0	11	4	84	0	0	0	0	44	0	0	0	4	0	0	0	0	0	0	0	0	11	40
MNN9	YPL050C	YPL050C	protein_coding	0	0	0	34	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	29
MNP1	YGL068W	YGL068W	protein_coding	0	1	0	35	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	1	18
MNR2	YKL064W	YKL064W	protein_coding	0	0	3	70	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	65
MNS1	YJR131W	YJR131W	protein_coding	0	0	0	19	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	12
MNT2	YGL257C	YGL257C	protein_coding	1	20	13	130	0	0	0	0	54	0	0	0	13	0	0	0	0	0	1	0	0	20	76
MNT3	YIL014W	YIL014W	protein_coding	0	6	3	26	0	0	0	0	18	0	0	0	3	0	0	0	0	0	0	0	0	6	8
MNT4	YNR059W	YNR059W	protein_coding	0	0	1	12	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	9
MOB1	YIL106W	YIL106W	protein_coding	0	0	2	14	0	0	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	8
MOB2	YFL034C-B	YFL034C-B	protein_coding	0	0	1	36	0	0	0	0	26	0	0	1	1	0	0	0	0	0	0	0	0	0	9
MOD5	YOR274W	YOR274W	protein_coding	0	4	2	59	0	0	0	0	31	0	0	0	2	0	0	0	0	0	0	0	0	4	28
MOG1	YJR074W	YJR074W	protein_coding	0	4	3	51	0	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	0	4	27
